id,question,answer,category,manufacturer
FC-0022,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Caterpillar (CAT)
FC-0023,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Volvo Penta
FC-0024,"Hvordan forklarer du kunden hvorfor engine model, serial number og mariniseringsleverandør trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Mitsubishi
FC-0025,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Cummins
FC-0026,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,MAN
FC-0027,Hva må verifiseres før serviceintervall oppgis for Scania?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Scania parts catalogue.",kjølesystem,Scania
FC-0028,Hva gjør du hvis kunden bare oppgir Yanmar og modellnavn?,"Be om model code, serial number og marine gear/saildrive, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Yanmar
FC-0029,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Caterpillar (CAT)
FC-0030,Hvorfor holder det ikke med bilde av delen alene?,"Fordi bilde sjelden bekrefter motorvariant, posisjon, produksjonsperiode eller supersession.",eksosanlegg,Volvo Penta
FC-0031,Hvilke identifikasjonsdata er viktigst for Mitsubishi?,"Kontroller engine model, serial number og mariniseringsleverandør og verifiser opplysningene i Mitsubishi/mariniseringsdokumentasjon.",kjølesystem,Mitsubishi
FC-0032,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Cummins
FC-0033,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,MAN
FC-0034,"Hvordan forklarer du kunden hvorfor engine number, application og rating trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Scania
FC-0035,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Yanmar
FC-0036,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Caterpillar (CAT)
FC-0037,Hva må verifiseres før serviceintervall oppgis for Volvo Penta?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Volvo Penta parts documentation.",kjølesystem,Volvo Penta
FC-0038,Hva gjør du hvis kunden bare oppgir Mitsubishi og modellnavn?,"Be om engine model, serial number og mariniseringsleverandør, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Mitsubishi
FC-0039,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Cummins
FC-0040,Hva er forskjellen på symptom og årsak?,Symptom er det kunden opplever; årsak er teknisk feil som må bekreftes med kontroll eller diagnose.,eksosanlegg,MAN
FC-0041,Hvilke identifikasjonsdata er viktigst for Scania?,"Kontroller engine number, application og rating og verifiser opplysningene i Scania parts catalogue.",kjølesystem,Scania
FC-0042,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Yanmar
FC-0043,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Caterpillar (CAT)
FC-0044,"Hvordan forklarer du kunden hvorfor Engine Type, Serial Number og Product Number trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Volvo Penta
FC-0045,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Mitsubishi
FC-0046,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Cummins
FC-0047,Hva må verifiseres før serviceintervall oppgis for MAN?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i MAN service documentation.",kjølesystem,MAN
FC-0048,Hva gjør du hvis kunden bare oppgir Scania og modellnavn?,"Be om engine number, application og rating, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Scania
FC-0049,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Yanmar
FC-0050,Hvorfor holder det ikke med bilde av delen alene?,"Fordi bilde sjelden bekrefter motorvariant, posisjon, produksjonsperiode eller supersession.",eksosanlegg,Caterpillar (CAT)
FC-0051,Hvilke identifikasjonsdata er viktigst for Volvo Penta?,"Kontroller Engine Type, Serial Number og Product Number og verifiser opplysningene i Volvo Penta parts documentation.",kjølesystem,Volvo Penta
FC-0052,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Mitsubishi
FC-0053,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Cummins
FC-0054,"Hvordan forklarer du kunden hvorfor engine type, engine number og rating trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,MAN
FC-0055,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Scania
FC-0056,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Yanmar
FC-0057,Hva må verifiseres før serviceintervall oppgis for Caterpillar (CAT)?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i SIS / Parts Manual.",kjølesystem,Caterpillar (CAT)
FC-0058,Hva gjør du hvis kunden bare oppgir Volvo Penta og modellnavn?,"Be om Engine Type, Serial Number og Product Number, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Volvo Penta
FC-0059,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Mitsubishi
FC-0060,Hva er forskjellen på symptom og årsak?,Symptom er det kunden opplever; årsak er teknisk feil som må bekreftes med kontroll eller diagnose.,eksosanlegg,Cummins
FC-0061,Hvilke identifikasjonsdata er viktigst for MAN?,"Kontroller engine type, engine number og rating og verifiser opplysningene i MAN service documentation.",kjølesystem,MAN
FC-0062,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Scania
FC-0063,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Yanmar
FC-0064,"Hvordan forklarer du kunden hvorfor ESN, Serial Number Prefix og Arrangement Number trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Caterpillar (CAT)
FC-0065,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Volvo Penta
FC-0066,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Mitsubishi
FC-0067,Hva må verifiseres før serviceintervall oppgis for Cummins?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i QuickServe / BOM.",kjølesystem,Cummins
FC-0068,Hva gjør du hvis kunden bare oppgir MAN og modellnavn?,"Be om engine type, engine number og rating, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,MAN
FC-0069,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Scania
FC-0070,Hvorfor holder det ikke med bilde av delen alene?,"Fordi bilde sjelden bekrefter motorvariant, posisjon, produksjonsperiode eller supersession.",eksosanlegg,Yanmar
FC-0071,Hvilke identifikasjonsdata er viktigst for Caterpillar (CAT)?,"Kontroller ESN, Serial Number Prefix og Arrangement Number og verifiser opplysningene i SIS / Parts Manual.",kjølesystem,Caterpillar (CAT)
FC-0072,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Volvo Penta
FC-0073,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Mitsubishi
FC-0074,"Hvordan forklarer du kunden hvorfor ESN, CPL og dataplate trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Cummins
FC-0075,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,MAN
FC-0076,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Scania
FC-0077,Hva må verifiseres før serviceintervall oppgis for Yanmar?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Yanmar parts documentation.",kjølesystem,Yanmar
FC-0078,Hva gjør du hvis kunden bare oppgir Caterpillar (CAT) og modellnavn?,"Be om ESN, Serial Number Prefix og Arrangement Number, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Caterpillar (CAT)
FC-0079,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Volvo Penta
FC-0080,Hva er forskjellen på symptom og årsak?,Symptom er det kunden opplever; årsak er teknisk feil som må bekreftes med kontroll eller diagnose.,eksosanlegg,Mitsubishi
FC-0081,Hvilke identifikasjonsdata er viktigst for Cummins?,"Kontroller ESN, CPL og dataplate og verifiser opplysningene i QuickServe / BOM.",kjølesystem,Cummins
FC-0082,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,MAN
FC-0083,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Scania
FC-0084,"Hvordan forklarer du kunden hvorfor model code, serial number og marine gear/saildrive trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Yanmar
FC-0085,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Caterpillar (CAT)
FC-0086,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Volvo Penta
FC-0087,Hva må verifiseres før serviceintervall oppgis for Mitsubishi?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Mitsubishi/mariniseringsdokumentasjon.",kjølesystem,Mitsubishi
FC-0088,Hva gjør du hvis kunden bare oppgir Cummins og modellnavn?,"Be om ESN, CPL og dataplate, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Cummins
FC-0089,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,MAN
FC-0090,Hvorfor holder det ikke med bilde av delen alene?,"Fordi bilde sjelden bekrefter motorvariant, posisjon, produksjonsperiode eller supersession.",eksosanlegg,Scania
FC-0091,Hvilke identifikasjonsdata er viktigst for Yanmar?,"Kontroller model code, serial number og marine gear/saildrive og verifiser opplysningene i Yanmar parts documentation.",kjølesystem,Yanmar
FC-0092,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Caterpillar (CAT)
FC-0093,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Volvo Penta
FC-0094,"Hvordan forklarer du kunden hvorfor engine model, serial number og mariniseringsleverandør trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Mitsubishi
FC-0095,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Cummins
FC-0096,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,MAN
FC-0097,Hva må verifiseres før serviceintervall oppgis for Scania?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Scania parts catalogue.",kjølesystem,Scania
FC-0098,Hva gjør du hvis kunden bare oppgir Yanmar og modellnavn?,"Be om model code, serial number og marine gear/saildrive, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Yanmar
FC-0099,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Caterpillar (CAT)
FC-0100,Hva er forskjellen på symptom og årsak?,Symptom er det kunden opplever; årsak er teknisk feil som må bekreftes med kontroll eller diagnose.,eksosanlegg,Volvo Penta
FC-0101,Hvilke identifikasjonsdata er viktigst for Mitsubishi?,"Kontroller engine model, serial number og mariniseringsleverandør og verifiser opplysningene i Mitsubishi/mariniseringsdokumentasjon.",kjølesystem,Mitsubishi
FC-0102,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Cummins
FC-0103,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,MAN
FC-0104,"Hvordan forklarer du kunden hvorfor engine number, application og rating trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Scania
FC-0105,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Yanmar
FC-0106,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Caterpillar (CAT)
FC-0107,Hva må verifiseres før serviceintervall oppgis for Volvo Penta?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Volvo Penta parts documentation.",kjølesystem,Volvo Penta
FC-0108,Hva gjør du hvis kunden bare oppgir Mitsubishi og modellnavn?,"Be om engine model, serial number og mariniseringsleverandør, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Mitsubishi
FC-0109,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Cummins
FC-0110,Hvorfor holder det ikke med bilde av delen alene?,"Fordi bilde sjelden bekrefter motorvariant, posisjon, produksjonsperiode eller supersession.",eksosanlegg,MAN
FC-0111,Hvilke identifikasjonsdata er viktigst for Scania?,"Kontroller engine number, application og rating og verifiser opplysningene i Scania parts catalogue.",kjølesystem,Scania
FC-0112,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Yanmar
FC-0113,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Caterpillar (CAT)
FC-0114,"Hvordan forklarer du kunden hvorfor Engine Type, Serial Number og Product Number trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Volvo Penta
FC-0115,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Mitsubishi
FC-0116,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Cummins
FC-0117,Hva må verifiseres før serviceintervall oppgis for MAN?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i MAN service documentation.",kjølesystem,MAN
FC-0118,Hva gjør du hvis kunden bare oppgir Scania og modellnavn?,"Be om engine number, application og rating, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Scania
FC-0119,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Yanmar
FC-0120,Hva er forskjellen på symptom og årsak?,Symptom er det kunden opplever; årsak er teknisk feil som må bekreftes med kontroll eller diagnose.,eksosanlegg,Caterpillar (CAT)
FC-0121,Hvilke identifikasjonsdata er viktigst for Volvo Penta?,"Kontroller Engine Type, Serial Number og Product Number og verifiser opplysningene i Volvo Penta parts documentation.",kjølesystem,Volvo Penta
FC-0122,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Mitsubishi
FC-0123,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Cummins
FC-0124,"Hvordan forklarer du kunden hvorfor engine type, engine number og rating trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,MAN
FC-0125,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Scania
FC-0126,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Yanmar
FC-0127,Hva må verifiseres før serviceintervall oppgis for Caterpillar (CAT)?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i SIS / Parts Manual.",kjølesystem,Caterpillar (CAT)
FC-0128,Hva gjør du hvis kunden bare oppgir Volvo Penta og modellnavn?,"Be om Engine Type, Serial Number og Product Number, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Volvo Penta
FC-0129,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Mitsubishi
FC-0130,Hvorfor holder det ikke med bilde av delen alene?,"Fordi bilde sjelden bekrefter motorvariant, posisjon, produksjonsperiode eller supersession.",eksosanlegg,Cummins
FC-0131,Hvilke identifikasjonsdata er viktigst for MAN?,"Kontroller engine type, engine number og rating og verifiser opplysningene i MAN service documentation.",kjølesystem,MAN
FC-0132,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Scania
FC-0133,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Yanmar
FC-0134,"Hvordan forklarer du kunden hvorfor ESN, Serial Number Prefix og Arrangement Number trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Caterpillar (CAT)
FC-0135,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Volvo Penta
FC-0136,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Mitsubishi
FC-0137,Hva må verifiseres før serviceintervall oppgis for Cummins?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i QuickServe / BOM.",kjølesystem,Cummins
FC-0138,Hva gjør du hvis kunden bare oppgir MAN og modellnavn?,"Be om engine type, engine number og rating, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,MAN
FC-0139,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Scania
FC-0140,Hva er forskjellen på symptom og årsak?,Symptom er det kunden opplever; årsak er teknisk feil som må bekreftes med kontroll eller diagnose.,eksosanlegg,Yanmar
FC-0141,Hvilke identifikasjonsdata er viktigst for Caterpillar (CAT)?,"Kontroller ESN, Serial Number Prefix og Arrangement Number og verifiser opplysningene i SIS / Parts Manual.",kjølesystem,Caterpillar (CAT)
FC-0142,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Volvo Penta
FC-0143,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Mitsubishi
FC-0144,"Hvordan forklarer du kunden hvorfor ESN, CPL og dataplate trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Cummins
FC-0145,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,MAN
FC-0146,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Scania
FC-0147,Hva må verifiseres før serviceintervall oppgis for Yanmar?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Yanmar parts documentation.",kjølesystem,Yanmar
FC-0148,Hva gjør du hvis kunden bare oppgir Caterpillar (CAT) og modellnavn?,"Be om ESN, Serial Number Prefix og Arrangement Number, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Caterpillar (CAT)
